Year,GDP,Tada,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all solar thousand megawatthours
2021,High,A,4115540.153,898678.5254,1575229.808,778151.5,260224.8854,379767.2472,163702.804
2020,Low,B,4007135.467,773392.8971,1624166.869,789878.863,285273.8948,337938.049,130721.0947
2019,High,C,4127855.213,964956.8115,1585814.174,809409.262,287873.7305,295882.4835,106894.2695
2018,High,C,4178277.344,1149487.339,1469132.682,807084.477,292523.9888,272667.4537,93364.58911
2017,Low,B,4034182.858,1205835.276,1296442.491,804949.635,300332.9297,254302.6952,77277.14752
2016,High,A,4076609.813,1239148.654,1378306.934,805693.948,267812.1531,226992.5621,54866.49178
2015,Low,Q,4077527.88,1352398.197,1333482.11,797177.877,249080.0848,190718.5477,39032.17088
2014,High,A,4093564.142,1581710.35,1126635.116,797165.982,259366.6219,181655.2818,28923.68989
2013,High,A,4065964.067,1581114.716,1124835.56,789016.473,268565.3827,167839.7454,
2012,Low,A,4047765.267,1514042.945,1225894.175,769331.249,276240.2193,140821.7147,
2011,,B,4100140.926,1733430.005,1013688.929,790204.367,319354.9035,120176.5986,
2010,Low,B,4125059.899,1847290.279,987697.2337,806968.3006,260203.0694,94652.24608,
2009,High,C,3950330.926,1755904.253,920978.6805,798854.585,273445.0942,73886.13171,
2008,High,D,4119387.76,1985801.247,882980.5991,806208.435,254831.3851,55363.10007,
2007,Low,E,4156744.724,2016455.584,896589.7911,806424.753,247509.9743,34449.9274,
2006,High,D,4064702.227,1990511.135,816440.7696,787218.636,289246.4157,26589.13699,
2005,,C,4055422.75,2012873.046,760960.2544,781986.365,270321.2549,17810.54902,
2004,High,C,3970555.263,1978300.549,710100.0165,788528.387,268417.3084,14143.74074,
2003,High,C,3883185.205,1973736.75,649907.541,763732.695,275806.328,11187.467,
2002,Low,A,3858452.254,1933130.354,691005.745,780064.087,264328.833,10354.279,
2001,High,B,3736643.653,1903955.943,639129.12,768826.308,216961.044,6737.332,
